	t	x	y
	2704	4.72271e+06	16230.9
	2705	4.72661e+06	16238.7
	2706	4.73044e+06	16246.5
	2707	4.73421e+06	16254.4
	2708	4.73791e+06	16262.3
	2709	4.74155e+06	16270.3
	2710	4.74512e+06	16278.3
	2711	4.74862e+06	16286.4
	2712	4.75205e+06	16294.6
	2713	4.7554e+06	16302.8
	2714	4.75869e+06	16311
	2715	4.76191e+06	16319.3
	2716	4.76505e+06	16327.6
	2717	4.76812e+06	16335.9
	2718	4.77111e+06	16344.3
	2719	4.77403e+06	16352.7
	2720	4.77688e+06	16361.1
	2721	4.77965e+06	16369.5
	2722	4.78234e+06	16378
	2723	4.78496e+06	16386.5
	2724	4.78749e+06	16395
	2725	4.78995e+06	16403.5
	2726	4.79234e+06	16412
	2727	4.79464e+06	16420.5
	2728	4.79686e+06	16429
	2729	4.79901e+06	16437.5
	2730	4.80108e+06	16446
	2731	4.80306e+06	16454.5
	2732	4.80497e+06	16463
	2733	4.8068e+06	16471.4
	2734	4.80854e+06	16479.9
	2735	4.81021e+06	16488.3
	2736	4.8118e+06	16496.7
	2737	4.8133e+06	16505.1
	2738	4.81473e+06	16513.5
	2739	4.81608e+06	16521.8
	2740	4.81734e+06	16530.1
	2741	4.81853e+06	16538.4
	2742	4.81963e+06	16546.6
	2743	4.82066e+06	16554.8
	2744	4.82161e+06	16562.9
	2745	4.82248e+06	16571
	2746	4.82327e+06	16579.1
	2747	4.82398e+06	16587.1
	2748	4.82462e+06	16595
	2749	4.82517e+06	16602.9
	2750	4.82565e+06	16610.7
	2751	4.82605e+06	16618.5
	2752	4.82638e+06	16626.2
	2753	4.82663e+06	16633.8
	2754	4.8268e+06	16641.4
	2755	4.8269e+06	16648.9
	2756	4.82692e+06	16656.4
	2757	4.82687e+06	16663.7
	2758	4.82675e+06	16671
	2759	4.82655e+06	16678.2
	2760	4.82628e+06	16685.4
	2761	4.82594e+06	16692.4
	2762	4.82553e+06	16699.4
	2763	4.82505e+06	16706.3
	2764	4.8245e+06	16713.1
	2765	4.82388e+06	16719.8
	2766	4.82319e+06	16726.4
	2767	4.82243e+06	16732.9
	2768	4.82161e+06	16739.3
	2769	4.82072e+06	16745.7
	2770	4.81977e+06	16751.9
	2771	4.81875e+06	16758.1
	2772	4.81767e+06	16764.1
	2773	4.81652e+06	16770
	2774	4.81532e+06	16775.9
	2775	4.81405e+06	16781.6
	2776	4.81272e+06	16787.2
	2777	4.81134e+06	16792.8
	2778	4.80989e+06	16798.2
	2779	4.80839e+06	16803.5
	2780	4.80684e+06	16808.7
	2781	4.80522e+06	16813.8
	2782	4.80355e+06	16818.7
	2783	4.80183e+06	16823.6
	2784	4.80006e+06	16828.3
	2785	4.79823e+06	16833
	2786	4.79636e+06	16837.5
	2787	4.79443e+06	16841.9
	2788	4.79246e+06	16846.2
	2789	4.79043e+06	16850.3
	2790	4.78836e+06	16854.4
	2791	4.78625e+06	16858.3
	2792	4.78409e+06	16862.1
	2793	4.78188e+06	16865.8
	2794	4.77964e+06	16869.4
	2795	4.77735e+06	16872.8
	2796	4.77502e+06	16876.2
	2797	4.77265e+06	16879.4
	2798	4.77024e+06	16882.4
	2799	4.7678e+06	16885.4
	2800	4.76532e+06	16888.3
	2801	4.7628e+06	16891
	2802	4.76025e+06	16893.6
	2803	4.75766e+06	16896
	2804	4.75504e+06	16898.4
	2805	4.75239e+06	16900.6
	2806	4.74971e+06	16902.7
	2807	4.747e+06	16904.7
	2808	4.74427e+06	16906.6
	2809	4.7415e+06	16908.3
	2810	4.73871e+06	16909.9
	2811	4.73589e+06	16911.4
	2812	4.73305e+06	16912.8
	2813	4.73018e+06	16914.1
	2814	4.7273e+06	16915.2
	2815	4.72439e+06	16916.2
	2816	4.72146e+06	16917.1
	2817	4.71851e+06	16917.9
	2818	4.71555e+06	16918.5
	2819	4.71256e+06	16919.1
	2820	4.70956e+06	16919.5
	2821	4.70655e+06	16919.8
	2822	4.70352e+06	16920
	2823	4.70047e+06	16920.1
	2824	4.69742e+06	16920
	2825	4.69435e+06	16919.9
	2826	4.69128e+06	16919.6
	2827	4.68819e+06	16919.2
	2828	4.68509e+06	16918.7
	2829	4.68199e+06	16918.1
	2830	4.67888e+06	16917.4
	2831	4.67577e+06	16916.6
	2832	4.67265e+06	16915.7
	2833	4.66953e+06	16914.6
	2834	4.6664e+06	16913.5
	2835	4.66327e+06	16912.3
	2836	4.66014e+06	16910.9
	2837	4.65701e+06	16909.5
	2838	4.65388e+06	16907.9
	2839	4.65076e+06	16906.2
	2840	4.64763e+06	16904.5
	2841	4.64451e+06	16902.6
	2842	4.64139e+06	16900.7
	2843	4.63828e+06	16898.6
	2844	4.63518e+06	16896.5
	2845	4.63208e+06	16894.3
	2846	4.62898e+06	16891.9
	2847	4.6259e+06	16889.5
	2848	4.62283e+06	16887
	2849	4.61976e+06	16884.4
	2850	4.61671e+06	16881.8
	2851	4.61367e+06	16879
	2852	4.61064e+06	16876.1
	2853	4.60762e+06	16873.2
	2854	4.60462e+06	16870.2
	2855	4.60164e+06	16867.1
	2856	4.59866e+06	16863.9
	2857	4.59571e+06	16860.7
	2858	4.59277e+06	16857.4
	2859	4.58985e+06	16854
	2860	4.58695e+06	16850.5
	2861	4.58406e+06	16846.9
	2862	4.5812e+06	16843.3
	2863	4.57836e+06	16839.6
	2864	4.57554e+06	16835.9
	2865	4.57274e+06	16832.1
	2866	4.56996e+06	16828.2
	2867	4.56721e+06	16824.3
	2868	4.56448e+06	16820.3
	2869	4.56177e+06	16816.2
	2870	4.55909e+06	16812.1
	2871	4.55643e+06	16807.9
	2872	4.55381e+06	16803.7
	2873	4.5512e+06	16799.5
	2874	4.54863e+06	16795.1
	2875	4.54608e+06	16790.7
	2876	4.54357e+06	16786.3
	2877	4.54108e+06	16781.9
	2878	4.53862e+06	16777.3
	2879	4.53619e+06	16772.8
	2880	4.53379e+06	16768.2
	2881	4.53143e+06	16763.6
	2882	4.52909e+06	16758.9
	2883	4.52679e+06	16754.2
	2884	4.52452e+06	16749.4
	2885	4.52229e+06	16744.6
	2886	4.52009e+06	16739.8
	2887	4.51792e+06	16735
	2888	4.51579e+06	16730.1
	2889	4.51369e+06	16725.2
	2890	4.51163e+06	16720.3
	2891	4.5096e+06	16715.4
	2892	4.50761e+06	16710.4
	2893	4.50566e+06	16705.4
	2894	4.50375e+06	16700.4
	2895	4.50187e+06	16695.4
	2896	4.50003e+06	16690.3
	2897	4.49823e+06	16685.3
	2898	4.49646e+06	16680.2
	2899	4.49474e+06	16675.1
	2900	4.49305e+06	16670.1
	2901	4.49141e+06	16665
	2902	4.4898e+06	16659.9
	2903	4.48824e+06	16654.8
	2904	4.48672e+06	16649.7
	2905	4.48523e+06	16644.6
	2906	4.48379e+06	16639.4
	2907	4.48239e+06	16634.3
	2908	4.48103e+06	16629.2
	2909	4.47971e+06	16624.1
	2910	4.47844e+06	16619
	2911	4.4772e+06	16614
	2912	4.47601e+06	16608.9
	2913	4.47486e+06	16603.8
	2914	4.47376e+06	16598.8
	2915	4.47269e+06	16593.7
	2916	4.47167e+06	16588.7
	2917	4.4707e+06	16583.7
	2918	4.46976e+06	16578.7
	2919	4.46887e+06	16573.7
	2920	4.46802e+06	16568.8
	2921	4.46722e+06	16563.8
	2922	4.46646e+06	16558.9
	2923	4.46575e+06	16554
	2924	4.46507e+06	16549.2
	2925	4.46444e+06	16544.3
	2926	4.46386e+06	16539.5
	2927	4.46332e+06	16534.8
	2928	4.46282e+06	16530
	2929	4.46237e+06	16525.3
	2930	4.46196e+06	16520.6
	2931	4.4616e+06	16516
	2932	4.46127e+06	16511.4
	2933	4.461e+06	16506.8
	2934	4.46076e+06	16502.3
	2935	4.46057e+06	16497.8
	2936	4.46043e+06	16493.3
	2937	4.46032e+06	16488.9
	2938	4.46026e+06	16484.5
	2939	4.46025e+06	16480.2
	2940	4.46027e+06	16475.9
	2941	4.46034e+06	16471.7
	2942	4.46045e+06	16467.5
	2943	4.46061e+06	16463.4
	2944	4.4608e+06	16459.3
	2945	4.46104e+06	16455.2
	2946	4.46132e+06	16451.3
	2947	4.46165e+06	16447.3
	2948	4.46201e+06	16443.4
	2949	4.46242e+06	16439.6
	2950	4.46286e+06	16435.8
	2951	4.46335e+06	16432.1
	2952	4.46388e+06	16428.5
	2953	4.46445e+06	16424.9
	2954	4.46506e+06	16421.3
	2955	4.4657e+06	16417.8
	2956	4.46639e+06	16414.4
	2957	4.46712e+06	16411
	2958	4.46788e+06	16407.7
	2959	4.46869e+06	16404.5
	2960	4.46953e+06	16401.3
	2961	4.47041e+06	16398.2
	2962	4.47132e+06	16395.2
	2963	4.47227e+06	16392.2
	2964	4.47326e+06	16389.3
	2965	4.47429e+06	16386.4
	2966	4.47535e+06	16383.6
	2967	4.47644e+06	16380.9
	2968	4.47757e+06	16378.2
	2969	4.47874e+06	16375.7
	2970	4.47993e+06	16373.2
	2971	4.48117e+06	16370.7
	2972	4.48243e+06	16368.3
	2973	4.48373e+06	16366
	2974	4.48505e+06	16363.8
	2975	4.48641e+06	16361.6
	2976	4.4878e+06	16359.6
	2977	4.48922e+06	16357.5
	2978	4.49067e+06	16355.6
	2979	4.49215e+06	16353.7
	2980	4.49365e+06	16351.9
	2981	4.49519e+06	16350.2
	2982	4.49675e+06	16348.5
	2983	4.49834e+06	16347
	2984	4.49995e+06	16345.5
	2985	4.50159e+06	16344
	2986	4.50326e+06	16342.7
	2987	4.50495e+06	16341.4
	2988	4.50666e+06	16340.2
	2989	4.5084e+06	16339.1
	2990	4.51016e+06	16338
	2991	4.51194e+06	16337
	2992	4.51374e+06	16336.1
	2993	4.51556e+06	16335.3
	2994	4.5174e+06	16334.5
	2995	4.51926e+06	16333.8
	2996	4.52114e+06	16333.2
	2997	4.52304e+06	16332.7
	2998	4.52496e+06	16332.2
	2999	4.52689e+06	16331.8
	3000	4.52883e+06	16331.5
	3001	4.64527e+06	4934.61
	3002	4.7619e+06	4971.2
	3003	4.87852e+06	5009.24
	3004	4.99495e+06	5048.76
	3005	5.11098e+06	5089.78
	3006	5.22643e+06	5132.32
	3007	5.34109e+06	5176.4
	3008	5.45478e+06	5222.04
	3009	5.56733e+06	5269.25
